id,text,Surface Meaning,Hidden Text,Hidden Meaning,Language
296,金促咪金出命,阿嬤說金促咪，其實是金出命。,金促咪,台語可愛,混合
297,毋湯無糖,醫生說毋湯吃糖，我點無糖。,毋湯,台語不要,混合
298,愛睏I can’t,外國人說I can，我只想睡。,愛睏,台語想睡,混合
299,拍謝,拍謝講成啪寫，像在寫程式。,抱歉,台語道歉,混合
300,甘蝦,日本人說甘蝦，台灣人回感謝。,感謝,中日混用,混合
301,Open 鳳梨,Open被聽成鳳梨，直接點水果。,Open,英文動詞,混合
302,SJW,朋友打SJW，我以為在罵設計系。,社交正義戰士,網路政治用語,中英字母
303,GGYY,開會只會GGYY，什麼都沒結論。,嘰嘰歪歪,抱怨碎念,中英字母
304,XD你,只回XD你，對方直接惱羞。,笑你,嘲笑語氣,中英字母
305,87%,你這想法真的87%。,白癡,台灣數字諧音,中英字母
306,3Q,他回我3Q但態度一點也不感謝。,謝謝,英數諧音,中英字母
307,LP,主管一直LP，結果事情還是沒做完。,囉嗦/老派,網路縮寫,中英字母
308,FK,留言只打一個FK，情緒很明顯。,F開頭髒話,英文縮寫,中英字母
309,NB,你這操作真的NB。,牛逼,很厲害,中英字母
310,QQ,被電到只能QQ。,哭哭,嘲諷/同情,中英字母
311,BYOB,朋友說BYOB，我只帶情緒來。,自己帶酒,英文縮寫,中英字母
312,EZ,他只回EZ，輸的人更不爽。,很簡單,遊戲嘲諷,中英字母
313,OMG,OMG你怎麼可以這樣。,天啊,情緒化指責,中英字母
314,RIP腦袋,他這發言我只能說RIP腦袋。,腦袋已死,人身嘲諷,中英字母
315,AFK你,講到一半直接AFK你。,已經放棄你,冷處理,中英字母
316,LOL你,我不是笑，是LOL你。,笑你,嘲諷,中英字母
317,IDK你在幹嘛,IDK你在幹嘛但真的很鬧。,不知道你在幹嘛,否定行為,中英字母
318,WT*是怎樣,WT*是怎樣，邏輯直接消失。,到底在幹嘛,憤怒質疑,中英字母
319,Noob你,被新人電爆，只能說Noob你。,菜鳥,遊戲貶低,中英字母
0,十全十美,十全十美,十全十美,十全十美,中文
1,一見鐘情,X,一見鍾情,眼科/相親,中文
2,愛不釋手,X,愛不釋手,護手霜/手機,中文
3,洗耳供聽,X,洗耳恭聽,掏耳/助聽器,中文
12,望梅止渴,X,望梅止渴,酸梅店,中文
13,畫餅充飢,X,畫餅充飢,畫廊/烘焙,中文
14,口蜜腹餞,X,口蜜腹劍,蜂蜜店,中文
16,植覺,X,直覺,花店,中文
17,咖飽,X,吃飽,咖啡店,中文
18,麵面俱到,X,面面俱到,麵館,中文
21,投幣從戎,X,投筆從戎,投幣洗衣,中文
22,見仁見智,X,見仁見智,人力仲介,中文
24,無憂無濾,X,無憂無慮,濾水器,中文
28,自食其力,X,自食其力,自助餐,中文
29,心曠神怡,X,心曠神怡,眼鏡/攝影,中文
30,金石良言,X,金石良言,珠寶店,中文
31,美不勝收,X,美不勝收,美容/回收,中文
35,天長地酒,X,天長地久,酒吧,中文
37,脫胎換骨,X,脫胎換骨,輪胎行,中文
39,花枝招展,X,花枝招展,海鮮店,中文
40,牛氣沖天,X,牛氣沖天,牛肉麵,中文
41,豬事順利,X,諸事順利,豬肉店/過年,中文
42,鼠於你,X,屬於你,過年賀詞,中文
44,蛇麼都好,X,什麼都好,過年賀詞,中文
45,羊羊得意,X,洋洋得意,過年賀詞,中文
46,雞不可失,X,機不可失,炸雞店,中文
47,狗年大吉,X,過年大吉,過年賀詞,中文
48,大雞大利,X,大吉大利,炸雞店,中文
49,有背無患,X,有備無患,推拿(背),中文
61,一見如故,X,一見如故,二手店,中文
64,一清二楚,X,一清二楚,清潔,中文
76,苦盡甘來,X,苦盡甘來,甜品,中文
81,良藥苦口,X,良藥苦口,藥局,中文
94,實事求柿,X,實事求是,柿子產品,中文
99,不言而芋,X,不言而喻,芋頭,中文
100,名羊天下,X,名揚天下,羊肉,中文
101,一塵不染,X,一塵不染,吸塵器/染髮,中文
109,不可理玉,X,不可理喻,玉米,中文
112,前程似鏡,X,前程似錦,眼鏡,中文
114,名不虛串,X,名不虛傳,串燒,中文
115,萬無一師,X,萬無一失,老師,中文
116,十全十眉,X,十全十美,紋眉,中文
117,千辛萬鼓,X,千辛萬鼓,鼓教室,中文
120,如魚得稅,X,如魚得水,稅務,中文
123,名列前貓,X,名列前茅,寵物,中文
124,自食其栗,X,自食其力,栗子,中文
125,引人入剩,X,引人入勝,剩菜,中文
126,得心應首,X,得心應手,理髮,中文
127,其樂無寵,X,其樂無窮,寵物,中文
130,一語驚仁,X,一語驚人,杏仁,中文
131,名實相服,X,名實相符,衣服,中文
132,大顯身瘦,X,大顯身手,減肥,中文
133,美不勝瘦,X,美不勝收,健身,中文
134,如火如茶,X,如火如荼,茶館,中文
135,天長地酒,X,天長地久,酒店,中文
138,一客千金,X,一刻千金,餐飲,中文
139,情有獨鐘,X,情有獨鍾,鐘錶,中文
140,萬無一濕,X,萬無一失,防水,中文
141,美夢成枕,X,美夢成真,枕頭,中文
142,百看不驗,X,百看不厭,驗光,中文
143,酒旱逢甘霖,X,久旱逢甘霖,酒店,中文
145,以貌取仁,X,以貌取人,豆花,中文
147,十拿九吻,X,十拿九穩,接吻,中文
148,名存實網,X,名存實亡,網咖,中文
153,Duck 不必,X,大可不必,沒必要,中/英
154,母湯,X,毋通,不可以,中/台
155,森77,X,生氣氣,生氣,數字/中
156,牙起來,X,兇起來,發脾氣,中/台
157,踹共,X,出來講,面對,中/台
158,灰雄,X,非常,很,中/台
159,豪口愛,X,好可愛,可愛,中
160,洗勒考,X,是在哭,吵什麼,中/台
161,歐北共,X,亂講話,胡說,中/台
162,係金欸,X,是真的,真實,中/台
163,修蛋幾咧,X,等一下,稍等,中/台
164,跨三小,X,看什麼看,挑釁,中/台
165,凍未條,X,受不了,忍無可忍,中/台
166,話蝦,X,喊聲,助威,中/台
167,起笑,X,發瘋,瘋了,中/台
168,歪哥,X,不法/歪斜,搞砸,中/台
169,拍謝,X,不好意思,道歉,中/台
170,挫賽,X,完蛋了,出事了,中/台
171,歸剛欸,X,整天,搞什麼鬼,中/台
172,安捏,X,這樣,怎麼會這樣,中/台
173,挖哩勒,X,我的天,驚嘆,中/台
